gt\pred    | background | H    | R   | Te | CpuM | M3i | M3f | Di | C  | Rr | P | Im | Dc
-----------+------------+------+-----+----+------+-----+-----+----+----+----+---+----+---
background |          0 |  267 | 213 | 61 |   27 |  24 |  15 | 17 | 35 |  1 | 7 |  3 |  1
         H |        176 | 1212 |  95 |  1 |    1 |   5 |   0 |  7 | 19 |  0 | 0 |  0 |  0
         R |         61 |   87 | 792 | 10 |    0 |   0 |   0 |  0 |  6 |  0 | 0 |  0 |  0
        Te |         14 |    2 |  16 | 80 |    4 |   0 |   0 |  0 |  0 |  0 | 0 |  0 |  0
      CpuM |          6 |    0 |   5 | 17 |   15 |   0 |   0 |  0 |  0 |  0 | 1 |  0 |  0
       M3i |          5 |    4 |   1 |  0 |    0 |  22 |  10 |  0 |  0 |  0 | 0 |  0 |  0
       M3f |          4 |    7 |   2 |  0 |    0 |   7 |  15 |  0 |  1 |  0 | 0 |  0 |  0
        Di |          9 |   23 |  11 |  1 |    0 |   0 |   0 |  9 |  0 |  0 | 0 |  0 |  0
         C |          7 |   29 |  17 |  0 |    0 |   1 |   0 |  0 |  6 |  1 | 0 |  0 |  0
        Rr |          8 |    0 |   1 |  3 |    0 |   0 |   0 |  0 |  0 |  6 | 0 |  0 |  0
         P |          9 |    0 |   0 |  0 |    0 |   0 |   0 |  0 |  0 |  0 | 2 |  0 |  0
        Im |          1 |    0 |   0 |  0 |    1 |   0 |   0 |  0 |  0 |  0 | 0 |  1 |  0
        Dc |          1 |    2 |   1 |  0 |    0 |   0 |   0 |  0 |  0 |  2 | 0 |  0 |  2
