gt\pred    | background | H    | R   | Te | CpuM | M3i | M3f | Di | C  | Rr | P | Im | Dc
-----------+------------+------+-----+----+------+-----+-----+----+----+----+---+----+---
background |          0 |  247 | 132 | 41 |   17 |  15 |   9 | 11 | 19 |  6 | 5 |  3 |  1
         H |        159 | 1287 |  45 |  0 |    0 |   6 |   0 |  8 | 10 |  0 | 0 |  1 |  0
         R |         52 |  101 | 792 |  6 |    0 |   0 |   0 |  2 |  3 |  0 | 0 |  0 |  0
        Te |         16 |    1 |  15 | 76 |    7 |   0 |   0 |  0 |  0 |  1 | 0 |  0 |  0
      CpuM |          9 |    0 |   3 | 14 |   18 |   0 |   0 |  0 |  0 |  0 | 0 |  0 |  0
       M3i |          4 |    3 |   1 |  0 |    0 |  31 |   3 |  0 |  0 |  0 | 0 |  0 |  0
       M3f |          4 |    8 |   0 |  0 |    0 |  11 |  13 |  0 |  0 |  0 | 0 |  0 |  0
        Di |          6 |   29 |   5 |  0 |    0 |   0 |   0 | 13 |  0 |  0 | 0 |  0 |  0
         C |          5 |   38 |  13 |  0 |    0 |   1 |   0 |  0 |  4 |  0 | 0 |  0 |  0
        Rr |          7 |    1 |   1 |  2 |    0 |   0 |   0 |  0 |  1 |  6 | 0 |  0 |  0
         P |          1 |    0 |   2 |  0 |    3 |   0 |   0 |  0 |  0 |  0 | 5 |  0 |  0
        Im |          1 |    0 |   0 |  0 |    1 |   0 |   0 |  0 |  0 |  0 | 0 |  1 |  0
        Dc |          2 |    1 |   1 |  0 |    0 |   0 |   0 |  0 |  0 |  2 | 0 |  0 |  2
