gt\pred    | background | H    | R   | Te | CpuM | M3i | M3f | Di | C  | Rr | P | Im | Dc
-----------+------------+------+-----+----+------+-----+-----+----+----+----+---+----+---
background |          0 |  635 | 368 | 52 |   23 |  19 |  17 | 14 | 19 |  4 | 5 |  5 |  0
         H |        277 | 1119 |  98 |  0 |    0 |   4 |   1 |  4 | 13 |  0 | 0 |  0 |  0
         R |        110 |  124 | 706 | 10 |    3 |   0 |   0 |  0 |  2 |  0 | 0 |  0 |  1
        Te |         22 |    2 |  30 | 57 |    4 |   0 |   0 |  0 |  0 |  1 | 0 |  0 |  0
      CpuM |         11 |    0 |   7 | 11 |   14 |   0 |   0 |  0 |  0 |  0 | 1 |  0 |  0
       M3i |          9 |    2 |   1 |  0 |    0 |  25 |   5 |  0 |  0 |  0 | 0 |  0 |  0
       M3f |          3 |    9 |   0 |  0 |    0 |  12 |  12 |  0 |  0 |  0 | 0 |  0 |  0
        Di |         15 |   24 |   7 |  0 |    0 |   0 |   0 |  7 |  0 |  0 | 0 |  0 |  0
         C |         11 |   31 |  14 |  1 |    0 |   1 |   0 |  0 |  3 |  0 | 0 |  0 |  0
        Rr |         10 |    1 |   1 |  2 |    0 |   0 |   0 |  0 |  0 |  3 | 0 |  0 |  1
         P |          8 |    0 |   0 |  0 |    0 |   0 |   0 |  0 |  0 |  0 | 3 |  0 |  0
        Im |          1 |    0 |   0 |  0 |    0 |   0 |   0 |  0 |  0 |  0 | 0 |  2 |  0
        Dc |          1 |    2 |   1 |  0 |    0 |   0 |   0 |  0 |  0 |  2 | 0 |  0 |  2
