gt\pred    | background | H    | R   | Te | CpuM | M3i | M3f | Di | C  | Rr | P | Im | Dc
-----------+------------+------+-----+----+------+-----+-----+----+----+----+---+----+---
background |          0 |  298 | 272 | 48 |   30 |  17 |  13 | 15 | 10 |  6 | 3 |  0 |  1
         H |        125 | 1256 | 111 |  2 |    0 |   6 |   1 |  6 |  9 |  0 | 0 |  0 |  0
         R |         55 |   69 | 818 | 10 |    1 |   0 |   0 |  2 |  1 |  0 | 0 |  0 |  0
        Te |         13 |    0 |  19 | 82 |    2 |   0 |   0 |  0 |  0 |  0 | 0 |  0 |  0
      CpuM |          5 |    0 |   4 | 15 |   20 |   0 |   0 |  0 |  0 |  0 | 0 |  0 |  0
       M3i |          3 |    3 |   0 |  1 |    0 |  30 |   5 |  0 |  0 |  0 | 0 |  0 |  0
       M3f |          2 |    8 |   0 |  0 |    0 |  11 |  14 |  0 |  1 |  0 | 0 |  0 |  0
        Di |          5 |   24 |  10 |  2 |    0 |   0 |   0 | 12 |  0 |  0 | 0 |  0 |  0
         C |          6 |   25 |  23 |  1 |    0 |   1 |   0 |  1 |  4 |  0 | 0 |  0 |  0
        Rr |          8 |    2 |   1 |  3 |    0 |   0 |   0 |  0 |  0 |  4 | 0 |  0 |  0
         P |          3 |    0 |   2 |  0 |    4 |   0 |   0 |  0 |  0 |  0 | 2 |  0 |  0
        Im |          2 |    0 |   1 |  0 |    0 |   0 |   0 |  0 |  0 |  0 | 0 |  0 |  0
        Dc |          1 |    1 |   0 |  1 |    0 |   0 |   0 |  0 |  0 |  3 | 0 |  0 |  2
