gt\pred    | background | H    | R   | Te | CpuM | M3i | M3f | Di | C  | Rr | P | Im | Dc
-----------+------------+------+-----+----+------+-----+-----+----+----+----+---+----+---
background |          0 |  357 | 231 | 54 |   16 |  22 |  15 | 11 | 43 |  7 | 5 |  4 |  0
         H |        112 | 1298 |  79 |  0 |    0 |   7 |   0 |  5 | 15 |  0 | 0 |  0 |  0
         R |         51 |   80 | 816 |  3 |    2 |   0 |   0 |  0 |  4 |  0 | 0 |  0 |  0
        Te |         16 |    4 |  10 | 86 |    0 |   0 |   0 |  0 |  0 |  0 | 0 |  0 |  0
      CpuM |         10 |    0 |   3 | 13 |   18 |   0 |   0 |  0 |  0 |  0 | 0 |  0 |  0
       M3i |          5 |    2 |   0 |  0 |    0 |  31 |   4 |  0 |  0 |  0 | 0 |  0 |  0
       M3f |          0 |    9 |   0 |  0 |    0 |   8 |  19 |  0 |  0 |  0 | 0 |  0 |  0
        Di |          3 |   31 |   6 |  1 |    0 |   0 |   0 | 12 |  0 |  0 | 0 |  0 |  0
         C |          4 |   35 |  13 |  1 |    0 |   1 |   0 |  1 |  6 |  0 | 0 |  0 |  0
        Rr |          8 |    0 |   1 |  1 |    0 |   0 |   0 |  0 |  3 |  5 | 0 |  0 |  0
         P |          2 |    0 |   2 |  0 |    2 |   0 |   0 |  0 |  0 |  0 | 5 |  0 |  0
        Im |          2 |    0 |   0 |  0 |    0 |   0 |   0 |  0 |  0 |  0 | 0 |  1 |  0
        Dc |          1 |    0 |   1 |  0 |    0 |   0 |   0 |  0 |  1 |  3 | 0 |  0 |  2
