gt\pred    | background | H    | R   | Te | CpuM | M3i | M3f | Di | C  | Rr | P | Im | Dc
-----------+------------+------+-----+----+------+-----+-----+----+----+----+---+----+---
background |          0 |  770 | 378 | 43 |   20 |  11 |  15 |  7 | 21 |  1 | 1 |  7 |  1
         H |        263 | 1123 | 109 |  0 |    0 |   4 |   0 |  4 | 12 |  0 | 0 |  1 |  0
         R |        119 |  166 | 663 |  6 |    2 |   0 |   0 |  0 |  0 |  0 | 0 |  0 |  0
        Te |         20 |    2 |  49 | 45 |    0 |   0 |   0 |  0 |  0 |  0 | 0 |  0 |  0
      CpuM |         14 |    0 |  14 |  5 |   11 |   0 |   0 |  0 |  0 |  0 | 0 |  0 |  0
       M3i |          5 |    6 |   1 |  0 |    0 |  26 |   4 |  0 |  0 |  0 | 0 |  0 |  0
       M3f |          3 |    9 |   0 |  0 |    0 |  11 |  13 |  0 |  0 |  0 | 0 |  0 |  0
        Di |         12 |   18 |  11 |  0 |    0 |   0 |   0 | 11 |  1 |  0 | 0 |  0 |  0
         C |          7 |   30 |  19 |  0 |    0 |   1 |   0 |  1 |  3 |  0 | 0 |  0 |  0
        Rr |         10 |    4 |   1 |  0 |    0 |   0 |   0 |  0 |  0 |  3 | 0 |  0 |  0
         P |          7 |    0 |   0 |  0 |    2 |   0 |   0 |  0 |  0 |  0 | 2 |  0 |  0
        Im |          2 |    0 |   0 |  0 |    0 |   0 |   0 |  0 |  0 |  0 | 0 |  1 |  0
        Dc |          1 |    1 |   2 |  0 |    0 |   0 |   0 |  0 |  0 |  2 | 0 |  0 |  2
