gt\pred    | background | H    | R   | Te  | CpuM | M3i | M3f | Di | C  | Rr | P | Im | Dc
-----------+------------+------+-----+-----+------+-----+-----+----+----+----+---+----+---
background |          0 |  110 | 126 |  25 |   23 |  18 |   6 |  9 | 30 |  4 | 7 |  7 |  8
         H |          7 | 1445 |  43 |   0 |    0 |   7 |   1 |  3 |  9 |  0 | 0 |  0 |  1
         R |         10 |   64 | 874 |   3 |    0 |   0 |   0 |  0 |  5 |  0 | 0 |  0 |  0
        Te |          2 |    0 |   6 | 106 |    2 |   0 |   0 |  0 |  0 |  0 | 0 |  0 |  0
      CpuM |          0 |    0 |   1 |  10 |   33 |   0 |   0 |  0 |  0 |  0 | 0 |  0 |  0
       M3i |          0 |    2 |   1 |   0 |    0 |  30 |   9 |  0 |  0 |  0 | 0 |  0 |  0
       M3f |          0 |    7 |   0 |   0 |    0 |  12 |  17 |  0 |  0 |  0 | 0 |  0 |  0
        Di |          3 |   30 |   4 |   0 |    0 |   0 |   0 | 13 |  2 |  0 | 0 |  0 |  1
         C |          1 |   39 |  12 |   2 |    0 |   1 |   0 |  0 |  5 |  0 | 0 |  0 |  1
        Rr |          3 |    0 |   0 |   1 |    0 |   0 |   0 |  0 |  0 |  9 | 0 |  0 |  5
         P |          3 |    0 |   0 |   0 |    1 |   0 |   0 |  0 |  0 |  0 | 7 |  0 |  0
        Im |          0 |    0 |   1 |   0 |    0 |   0 |   0 |  0 |  0 |  0 | 0 |  2 |  0
        Dc |          0 |    0 |   0 |   0 |    0 |   0 |   0 |  0 |  2 |  2 | 0 |  0 |  4
