gt\pred    | background | H    | R   | Te | CpuM | M3i | M3f | Di | C  | Rr | P | Im | Dc
-----------+------------+------+-----+----+------+-----+-----+----+----+----+---+----+---
background |          0 |  121 | 102 | 27 |   30 |  18 |  13 | 51 | 42 |  6 | 5 |  8 |  6
         H |         10 | 1447 |  27 |  0 |    0 |   9 |   1 | 15 |  6 |  0 | 0 |  0 |  1
         R |         13 |   54 | 878 |  2 |    0 |   0 |   0 |  4 |  5 |  0 | 0 |  0 |  0
        Te |          2 |    1 |   7 | 95 |   10 |   0 |   0 |  0 |  0 |  1 | 0 |  0 |  0
      CpuM |          0 |    0 |   2 |  6 |   36 |   0 |   0 |  0 |  0 |  0 | 0 |  0 |  0
       M3i |          2 |    1 |   0 |  0 |    0 |  34 |   5 |  0 |  0 |  0 | 0 |  0 |  0
       M3f |          2 |    8 |   0 |  0 |    0 |   9 |  16 |  0 |  1 |  0 | 0 |  0 |  0
        Di |          1 |   28 |   4 |  0 |    0 |   0 |   0 | 18 |  2 |  0 | 0 |  0 |  0
         C |          1 |   42 |   9 |  1 |    0 |   1 |   0 |  2 |  4 |  0 | 0 |  0 |  1
        Rr |          6 |    0 |   0 |  0 |    0 |   0 |   0 |  0 |  0 | 10 | 0 |  0 |  2
         P |          2 |    0 |   0 |  0 |    0 |   0 |   0 |  0 |  0 |  0 | 9 |  0 |  0
        Im |          0 |    0 |   0 |  0 |    0 |   0 |   0 |  0 |  0 |  0 | 0 |  3 |  0
        Dc |          2 |    1 |   0 |  0 |    0 |   0 |   0 |  0 |  0 |  2 | 0 |  0 |  3
