gt\pred    | background | H    | R   | Te | CpuM | M3i | M3f | Di | C  | Rr | P  | Im | Dc
-----------+------------+------+-----+----+------+-----+-----+----+----+----+----+----+---
background |          0 |  194 | 198 | 42 |   20 |  26 |  17 | 10 | 17 |  6 |  6 |  6 |  0
         H |          7 | 1447 |  50 |  0 |    0 |   2 |   0 |  2 |  8 |  0 |  0 |  0 |  0
         R |          8 |  105 | 842 |  1 |    0 |   0 |   0 |  0 |  0 |  0 |  0 |  0 |  0
        Te |          3 |    1 |  17 | 93 |    0 |   0 |   0 |  0 |  0 |  1 |  0 |  0 |  1
      CpuM |          0 |    0 |   3 | 14 |   27 |   0 |   0 |  0 |  0 |  0 |  0 |  0 |  0
       M3i |          1 |    3 |   1 |  0 |    0 |  34 |   3 |  0 |  0 |  0 |  0 |  0 |  0
       M3f |          2 |    9 |   2 |  0 |    0 |   9 |  14 |  0 |  0 |  0 |  0 |  0 |  0
        Di |          1 |   34 |   5 |  0 |    0 |   0 |   0 | 13 |  0 |  0 |  0 |  0 |  0
         C |          2 |   42 |  11 |  0 |    0 |   0 |   0 |  1 |  5 |  0 |  0 |  0 |  0
        Rr |          3 |    2 |   3 |  2 |    0 |   0 |   0 |  0 |  0 |  6 |  0 |  0 |  2
         P |          0 |    0 |   1 |  0 |    0 |   0 |   0 |  0 |  0 |  0 | 10 |  0 |  0
        Im |          0 |    0 |   0 |  0 |    0 |   0 |   0 |  0 |  0 |  0 |  0 |  3 |  0
        Dc |          1 |    2 |   1 |  0 |    0 |   0 |   0 |  0 |  0 |  2 |  0 |  0 |  2
