Per-class test metrics for resnet50_deep
macro_f1: 0.595536
weighted_f1: 0.859265

class | precision | recall | f1    | tp   | fp  | fn | support
------+-----------+--------+-------+------+-----+----+--------
    H |     0.866 |  0.969 | 0.914 | 1469 | 228 | 47 |    1516
    R |     0.839 |  0.937 | 0.885 |  896 | 172 | 60 |     956
   Te |     0.735 |  0.931 | 0.821 |  108 |  39 |  8 |     116
 CpuM |     0.678 |  0.909 | 0.777 |   40 |  19 |  4 |      44
  M3i |     0.500 |  0.810 | 0.618 |   34 |  34 |  8 |      42
  M3f |     0.636 |  0.583 | 0.609 |   21 |  12 | 15 |      36
   Di |     0.640 |  0.302 | 0.410 |   16 |   9 | 37 |      53
    C |     0.151 |  0.131 | 0.140 |    8 |  45 | 53 |      61
   Rr |     0.600 |  0.500 | 0.545 |    9 |   6 |  9 |      18
    P |     0.571 |  0.727 | 0.640 |    8 |   6 |  3 |      11
   Im |     0.333 |  1.000 | 0.500 |    3 |   6 |  0 |       3
   Dc |     0.200 |  0.500 | 0.286 |    4 |  16 |  4 |       8
