Per-class test metrics for resnet50_full
macro_f1: 0.601048
weighted_f1: 0.864049

class | precision | recall | f1    | tp   | fp  | fn | support
------+-----------+--------+-------+------+-----+----+--------
    H |     0.866 |  0.972 | 0.916 | 1474 | 229 | 42 |    1516
    R |     0.867 |  0.933 | 0.899 |  892 | 137 | 64 |     956
   Te |     0.794 |  0.897 | 0.842 |  104 |  27 | 12 |     116
 CpuM |     0.526 |  0.909 | 0.667 |   40 |  36 |  4 |      44
  M3i |     0.535 |  0.905 | 0.673 |   38 |  33 |  4 |      42
  M3f |     0.514 |  0.500 | 0.507 |   18 |  17 | 18 |      36
   Di |     0.278 |  0.472 | 0.350 |   25 |  65 | 28 |      53
    C |     0.183 |  0.180 | 0.182 |   11 |  49 | 50 |      61
   Rr |     0.632 |  0.667 | 0.649 |   12 |   7 |  6 |      18
    P |     0.643 |  0.818 | 0.720 |    9 |   5 |  2 |      11
   Im |     0.273 |  1.000 | 0.429 |    3 |   8 |  0 |       3
   Dc |     0.308 |  0.500 | 0.381 |    4 |   9 |  4 |       8
