Per-class test metrics for resnet50_shallow
macro_f1: 0.58915
weighted_f1: 0.827581

class | precision | recall | f1    | tp   | fp  | fn | support
------+-----------+--------+-------+------+-----+----+--------
    H |     0.804 |  0.975 | 0.881 | 1478 | 361 | 38 |    1516
    R |     0.786 |  0.932 | 0.853 |  891 | 243 | 65 |     956
   Te |     0.678 |  0.888 | 0.769 |  103 |  49 | 13 |     116
 CpuM |     0.723 |  0.773 | 0.747 |   34 |  13 | 10 |      44
  M3i |     0.549 |  0.929 | 0.690 |   39 |  32 |  3 |      42
  M3f |     0.529 |  0.500 | 0.514 |   18 |  16 | 18 |      36
   Di |     0.538 |  0.264 | 0.354 |   14 |  12 | 39 |      53
    C |     0.233 |  0.115 | 0.154 |    7 |  23 | 54 |      61
   Rr |     0.533 |  0.444 | 0.485 |    8 |   7 | 10 |      18
    P |     0.688 |  1.000 | 0.815 |   11 |   5 |  0 |      11
   Im |     0.333 |  1.000 | 0.500 |    3 |   6 |  0 |       3
   Dc |     0.400 |  0.250 | 0.308 |    2 |   3 |  6 |       8
