Per-class test metrics for mbv3_320_deep
macro_f1: 0.728577
weighted_f1: 0.71988

class | precision | recall | f1    | tp | fp | fn | support
------+-----------+--------+-------+----+----+----+--------
   11 |     0.565 |  0.438 | 0.494 | 39 | 30 | 50 |      89
   12 |     0.753 |  0.760 | 0.756 | 73 | 24 | 23 |      96
   13 |     0.697 |  0.495 | 0.579 | 53 | 23 | 54 |     107
   14 |     0.756 |  0.774 | 0.765 | 65 | 21 | 19 |      84
   15 |     0.637 |  0.674 | 0.655 | 58 | 33 | 28 |      86
   16 |     0.758 |  0.904 | 0.824 | 75 | 24 |  8 |      83
   17 |     0.680 |  0.864 | 0.761 | 70 | 33 | 11 |      81
   18 |     0.812 |  0.684 | 0.743 | 39 |  9 | 18 |      57
   21 |     0.746 |  0.475 | 0.580 | 47 | 16 | 52 |      99
   22 |     0.761 |  0.714 | 0.737 | 70 | 22 | 28 |      98
   23 |     0.744 |  0.598 | 0.663 | 61 | 21 | 41 |     102
   24 |     0.646 |  0.753 | 0.696 | 64 | 35 | 21 |      85
   25 |     0.735 |  0.766 | 0.750 | 72 | 26 | 22 |      94
   26 |     0.733 |  0.868 | 0.795 | 66 | 24 | 10 |      76
   27 |     0.655 |  0.818 | 0.727 | 72 | 38 | 16 |      88
   28 |     0.677 |  0.824 | 0.743 | 42 | 20 |  9 |      51
   31 |     0.581 |  0.324 | 0.416 | 36 | 26 | 75 |     111
   32 |     0.724 |  0.679 | 0.700 | 76 | 29 | 36 |     112
   33 |     0.748 |  0.658 | 0.700 | 77 | 26 | 40 |     117
   34 |     0.672 |  0.874 | 0.759 | 90 | 44 | 13 |     103
   35 |     0.843 |  0.878 | 0.860 | 86 | 16 | 12 |      98
   36 |     0.819 |  0.952 | 0.881 | 59 | 13 |  3 |      62
   37 |     0.648 |  0.933 | 0.765 | 70 | 38 |  5 |      75
   38 |     0.903 |  0.915 | 0.909 | 65 |  7 |  6 |      71
   41 |     0.692 |  0.755 | 0.722 | 83 | 37 | 27 |     110
   42 |     0.718 |  0.468 | 0.567 | 51 | 20 | 58 |     109
   43 |     0.789 |  0.836 | 0.812 | 97 | 26 | 19 |     116
   44 |     0.664 |  0.859 | 0.749 | 85 | 43 | 14 |      99
   45 |     0.775 |  0.903 | 0.834 | 93 | 27 | 10 |     103
   46 |     0.759 |  0.955 | 0.846 | 63 | 20 |  3 |      66
   47 |     0.673 |  0.937 | 0.783 | 74 | 36 |  5 |      79
   48 |     0.812 |  0.684 | 0.743 | 39 |  9 | 18 |      57
