Per-class test metrics for mbv3_320_full
macro_f1: 0.730826
weighted_f1: 0.722297

class | precision | recall | f1    | tp  | fp | fn | support
------+-----------+--------+-------+-----+----+----+--------
   11 |     0.443 |  0.483 | 0.462 |  43 | 54 | 46 |      89
   12 |     0.713 |  0.750 | 0.731 |  72 | 29 | 24 |      96
   13 |     0.622 |  0.523 | 0.569 |  56 | 34 | 51 |     107
   14 |     0.737 |  0.833 | 0.782 |  70 | 25 | 14 |      84
   15 |     0.532 |  0.581 | 0.556 |  50 | 44 | 36 |      86
   16 |     0.813 |  0.892 | 0.851 |  74 | 17 |  9 |      83
   17 |     0.683 |  0.852 | 0.758 |  69 | 32 | 12 |      81
   18 |     0.870 |  0.702 | 0.777 |  40 |  6 | 17 |      57
   21 |     0.804 |  0.455 | 0.581 |  45 | 11 | 54 |      99
   22 |     0.722 |  0.663 | 0.691 |  65 | 25 | 33 |      98
   23 |     0.738 |  0.608 | 0.667 |  62 | 22 | 40 |     102
   24 |     0.733 |  0.647 | 0.688 |  55 | 20 | 30 |      85
   25 |     0.762 |  0.681 | 0.719 |  64 | 20 | 30 |      94
   26 |     0.767 |  0.868 | 0.815 |  66 | 20 | 10 |      76
   27 |     0.676 |  0.852 | 0.754 |  75 | 36 | 13 |      88
   28 |     0.714 |  0.784 | 0.748 |  40 | 16 | 11 |      51
   31 |     0.711 |  0.288 | 0.410 |  32 | 13 | 79 |     111
   32 |     0.706 |  0.688 | 0.697 |  77 | 32 | 35 |     112
   33 |     0.654 |  0.761 | 0.704 |  89 | 47 | 28 |     117
   34 |     0.649 |  0.825 | 0.726 |  85 | 46 | 18 |     103
   35 |     0.853 |  0.949 | 0.899 |  93 | 16 |  5 |      98
   36 |     0.845 |  0.968 | 0.902 |  60 | 11 |  2 |      62
   37 |     0.576 |  0.960 | 0.720 |  72 | 53 |  3 |      75
   38 |     0.943 |  0.930 | 0.936 |  66 |  4 |  5 |      71
   41 |     0.728 |  0.755 | 0.741 |  83 | 31 | 27 |     110
   42 |     0.713 |  0.752 | 0.732 |  82 | 33 | 27 |     109
   43 |     0.769 |  0.862 | 0.813 | 100 | 30 | 16 |     116
   44 |     0.654 |  0.838 | 0.735 |  83 | 44 | 16 |      99
   45 |     0.830 |  0.903 | 0.865 |  93 | 19 | 10 |     103
   46 |     0.783 |  0.985 | 0.872 |  65 | 18 |  1 |      66
   47 |     0.603 |  0.924 | 0.730 |  73 | 48 |  6 |      79
   48 |     0.848 |  0.684 | 0.757 |  39 |  7 | 18 |      57
