Per-class test metrics for mbv3_320_shallow
macro_f1: 0.567718
weighted_f1: 0.54858

class | precision | recall | f1    | tp | fp | fn  | support
------+-----------+--------+-------+----+----+-----+--------
   11 |     0.909 |  0.225 | 0.360 | 20 |  2 |  69 |      89
   12 |     0.663 |  0.677 | 0.670 | 65 | 33 |  31 |      96
   13 |     0.558 |  0.224 | 0.320 | 24 | 19 |  83 |     107
   14 |     0.614 |  0.607 | 0.611 | 51 | 32 |  33 |      84
   15 |     0.646 |  0.616 | 0.631 | 53 | 29 |  33 |      86
   16 |     0.611 |  0.663 | 0.636 | 55 | 35 |  28 |      83
   17 |     0.560 |  0.630 | 0.593 | 51 | 40 |  30 |      81
   18 |     0.596 |  0.596 | 0.596 | 34 | 23 |  23 |      57
   21 |     0.800 |  0.040 | 0.077 |  4 |  1 |  95 |      99
   22 |     0.657 |  0.684 | 0.670 | 67 | 35 |  31 |      98
   23 |     0.723 |  0.461 | 0.563 | 47 | 18 |  55 |     102
   24 |     0.583 |  0.412 | 0.483 | 35 | 25 |  50 |      85
   25 |     0.580 |  0.617 | 0.598 | 58 | 42 |  36 |      94
   26 |     0.515 |  0.684 | 0.588 | 52 | 49 |  24 |      76
   27 |     0.573 |  0.670 | 0.618 | 59 | 44 |  29 |      88
   28 |     0.592 |  0.569 | 0.580 | 29 | 20 |  22 |      51
   31 |     1.000 |  0.009 | 0.018 |  1 |  0 | 110 |     111
   32 |     0.640 |  0.509 | 0.567 | 57 | 32 |  55 |     112
   33 |     0.397 |  0.265 | 0.318 | 31 | 47 |  86 |     117
   34 |     0.556 |  0.816 | 0.661 | 84 | 67 |  19 |     103
   35 |     0.714 |  0.816 | 0.762 | 80 | 32 |  18 |      98
   36 |     0.851 |  0.919 | 0.884 | 57 | 10 |   5 |      62
   37 |     0.635 |  0.880 | 0.737 | 66 | 38 |   9 |      75
   38 |     0.932 |  0.775 | 0.846 | 55 |  4 |  16 |      71
   41 |     0.553 |  0.518 | 0.535 | 57 | 46 |  53 |     110
   42 |     0.458 |  0.303 | 0.365 | 33 | 39 |  76 |     109
   43 |     0.566 |  0.664 | 0.611 | 77 | 59 |  39 |     116
   44 |     0.536 |  0.677 | 0.598 | 67 | 58 |  32 |      99
   45 |     0.721 |  0.427 | 0.537 | 44 | 17 |  59 |     103
   46 |     0.706 |  0.909 | 0.795 | 60 | 25 |   6 |      66
   47 |     0.571 |  0.861 | 0.687 | 68 | 51 |  11 |      79
   48 |     0.816 |  0.544 | 0.653 | 31 |  7 |  26 |      57
