Per-class test metrics for mbv3_large_deep
macro_f1: 0.659868
weighted_f1: 0.649673

class | precision | recall | f1    | tp  | fp | fn | support
------+-----------+--------+-------+-----+----+----+--------
   11 |     0.797 |  0.708 | 0.750 |  63 | 16 | 26 |      89
   12 |     0.649 |  0.750 | 0.696 |  72 | 39 | 24 |      96
   13 |     0.714 |  0.467 | 0.565 |  50 | 20 | 57 |     107
   14 |     0.780 |  0.845 | 0.811 |  71 | 20 | 13 |      84
   15 |     0.633 |  0.442 | 0.521 |  38 | 22 | 48 |      86
   16 |     0.664 |  0.904 | 0.765 |  75 | 38 |  8 |      83
   17 |     0.594 |  0.704 | 0.644 |  57 | 39 | 24 |      81
   18 |     0.613 |  0.807 | 0.697 |  46 | 29 | 11 |      57
   21 |     0.455 |  0.101 | 0.165 |  10 | 12 | 89 |      99
   22 |     0.632 |  0.684 | 0.657 |  67 | 39 | 31 |      98
   23 |     0.818 |  0.529 | 0.643 |  54 | 12 | 48 |     102
   24 |     0.707 |  0.341 | 0.460 |  29 | 12 | 56 |      85
   25 |     0.730 |  0.489 | 0.586 |  46 | 17 | 48 |      94
   26 |     0.574 |  0.868 | 0.691 |  66 | 49 | 10 |      76
   27 |     0.598 |  0.761 | 0.670 |  67 | 45 | 21 |      88
   28 |     0.485 |  0.627 | 0.547 |  32 | 34 | 19 |      51
   31 |     0.565 |  0.234 | 0.331 |  26 | 20 | 85 |     111
   32 |     0.644 |  0.679 | 0.661 |  76 | 42 | 36 |     112
   33 |     0.635 |  0.684 | 0.658 |  80 | 46 | 37 |     117
   34 |     0.570 |  0.835 | 0.677 |  86 | 65 | 17 |     103
   35 |     0.738 |  0.918 | 0.818 |  90 | 32 |  8 |      98
   36 |     0.728 |  0.952 | 0.825 |  59 | 22 |  3 |      62
   37 |     0.626 |  0.893 | 0.736 |  67 | 40 |  8 |      75
   38 |     0.779 |  0.944 | 0.854 |  67 | 19 |  4 |      71
   41 |     0.636 |  0.682 | 0.658 |  75 | 43 | 35 |     110
   42 |     0.484 |  0.550 | 0.515 |  60 | 64 | 49 |     109
   43 |     0.575 |  0.862 | 0.690 | 100 | 74 | 16 |     116
   44 |     0.516 |  0.838 | 0.638 |  83 | 78 | 16 |      99
   45 |     0.813 |  0.718 | 0.763 |  74 | 17 | 29 |     103
   46 |     0.753 |  0.970 | 0.848 |  64 | 21 |  2 |      66
   47 |     0.705 |  0.937 | 0.804 |  74 | 31 |  5 |      79
   48 |     0.808 |  0.737 | 0.771 |  42 | 10 | 15 |      57
