Per-class test metrics for mbv3_large_full
macro_f1: 0.647921
weighted_f1: 0.633754

class | precision | recall | f1    | tp | fp | fn | support
------+-----------+--------+-------+----+----+----+--------
   11 |     0.767 |  0.629 | 0.691 | 56 | 17 | 33 |      89
   12 |     0.600 |  0.812 | 0.690 | 78 | 52 | 18 |      96
   13 |     0.676 |  0.430 | 0.526 | 46 | 22 | 61 |     107
   14 |     0.717 |  0.786 | 0.750 | 66 | 26 | 18 |      84
   15 |     0.750 |  0.488 | 0.592 | 42 | 14 | 44 |      86
   16 |     0.753 |  0.843 | 0.795 | 70 | 23 | 13 |      83
   17 |     0.733 |  0.679 | 0.705 | 55 | 20 | 26 |      81
   18 |     0.672 |  0.719 | 0.695 | 41 | 20 | 16 |      57
   21 |     1.000 |  0.040 | 0.078 |  4 |  0 | 95 |      99
   22 |     0.676 |  0.745 | 0.709 | 73 | 35 | 25 |      98
   23 |     0.800 |  0.471 | 0.593 | 48 | 12 | 54 |     102
   24 |     0.750 |  0.247 | 0.372 | 21 |  7 | 64 |      85
   25 |     0.608 |  0.511 | 0.555 | 48 | 31 | 46 |      94
   26 |     0.682 |  0.789 | 0.732 | 60 | 28 | 16 |      76
   27 |     0.560 |  0.580 | 0.570 | 51 | 40 | 37 |      88
   28 |     0.574 |  0.765 | 0.655 | 39 | 29 | 12 |      51
   31 |     0.519 |  0.126 | 0.203 | 14 | 13 | 97 |     111
   32 |     0.630 |  0.714 | 0.669 | 80 | 47 | 32 |     112
   33 |     0.683 |  0.590 | 0.633 | 69 | 32 | 48 |     117
   34 |     0.596 |  0.816 | 0.689 | 84 | 57 | 19 |     103
   35 |     0.835 |  0.929 | 0.879 | 91 | 18 |  7 |      98
   36 |     0.756 |  0.952 | 0.843 | 59 | 19 |  3 |      62
   37 |     0.602 |  0.947 | 0.736 | 71 | 47 |  4 |      75
   38 |     0.878 |  0.915 | 0.897 | 65 |  9 |  6 |      71
   41 |     0.717 |  0.691 | 0.704 | 76 | 30 | 34 |     110
   42 |     0.436 |  0.404 | 0.419 | 44 | 57 | 65 |     109
   43 |     0.529 |  0.784 | 0.632 | 91 | 81 | 25 |     116
   44 |     0.640 |  0.808 | 0.714 | 80 | 45 | 19 |      99
   45 |     0.811 |  0.583 | 0.678 | 60 | 14 | 43 |     103
   46 |     0.719 |  0.970 | 0.826 | 64 | 25 |  2 |      66
   47 |     0.670 |  0.899 | 0.768 | 71 | 35 |  8 |      79
   48 |     0.826 |  0.667 | 0.738 | 38 |  8 | 19 |      57
