Per-class test metrics for mbv3_large_shallow
macro_f1: 0.51673
weighted_f1: 0.50103

class | precision | recall | f1    | tp | fp  | fn  | support
------+-----------+--------+-------+----+-----+-----+--------
   11 |     1.000 |  0.112 | 0.202 | 10 |   0 |  79 |      89
   12 |     0.571 |  0.708 | 0.633 | 68 |  51 |  28 |      96
   13 |     0.536 |  0.280 | 0.368 | 30 |  26 |  77 |     107
   14 |     0.567 |  0.702 | 0.628 | 59 |  45 |  25 |      84
   15 |     0.662 |  0.500 | 0.570 | 43 |  22 |  43 |      86
   16 |     0.460 |  0.699 | 0.555 | 58 |  68 |  25 |      83
   17 |     0.527 |  0.728 | 0.611 | 59 |  53 |  22 |      81
   18 |     0.414 |  0.719 | 0.526 | 41 |  58 |  16 |      57
   21 |     1.000 |  0.010 | 0.020 |  1 |   0 |  98 |      99
   22 |     0.517 |  0.633 | 0.569 | 62 |  58 |  36 |      98
   23 |     0.582 |  0.382 | 0.462 | 39 |  28 |  63 |     102
   24 |     0.554 |  0.365 | 0.440 | 31 |  25 |  54 |      85
   25 |     0.432 |  0.404 | 0.418 | 38 |  50 |  56 |      94
   26 |     0.333 |  0.632 | 0.436 | 48 |  96 |  28 |      76
   27 |     0.423 |  0.682 | 0.522 | 60 |  82 |  28 |      88
   28 |     0.303 |  0.588 | 0.400 | 30 |  69 |  21 |      51
   31 |     0.000 |  0.000 | 0.000 |  0 |   0 | 111 |     111
   32 |     0.562 |  0.562 | 0.562 | 63 |  49 |  49 |     112
   33 |     0.515 |  0.453 | 0.482 | 53 |  50 |  64 |     117
   34 |     0.416 |  0.767 | 0.539 | 79 | 111 |  24 |     103
   35 |     0.521 |  0.755 | 0.617 | 74 |  68 |  24 |      98
   36 |     0.791 |  0.855 | 0.822 | 53 |  14 |   9 |      62
   37 |     0.561 |  0.920 | 0.697 | 69 |  54 |   6 |      75
   38 |     0.762 |  0.859 | 0.808 | 61 |  19 |  10 |      71
   41 |     0.514 |  0.664 | 0.579 | 73 |  69 |  37 |     110
   42 |     0.362 |  0.266 | 0.307 | 29 |  51 |  80 |     109
   43 |     0.390 |  0.690 | 0.498 | 80 | 125 |  36 |     116
   44 |     0.381 |  0.646 | 0.479 | 64 | 104 |  35 |      99
   45 |     0.645 |  0.583 | 0.612 | 60 |  33 |  43 |     103
   46 |     0.594 |  0.909 | 0.719 | 60 |  41 |   6 |      66
   47 |     0.673 |  0.886 | 0.765 | 70 |  34 |   9 |      79
   48 |     0.717 |  0.667 | 0.691 | 38 |  15 |  19 |      57
