Per-class test metrics for resnet50_deep
macro_f1: 0.876369
weighted_f1: 0.88282

class | precision | recall | f1    | tp  | fp  | fn | support
------+-----------+--------+-------+-----+-----+----+--------
   11 |     0.395 |  0.955 | 0.559 |  85 | 130 |  4 |      89
   12 |     0.825 |  0.979 | 0.895 |  94 |  20 |  2 |      96
   13 |     0.920 |  0.972 | 0.945 | 104 |   9 |  3 |     107
   14 |     0.755 |  0.952 | 0.842 |  80 |  26 |  4 |      84
   15 |     0.800 |  0.977 | 0.880 |  84 |  21 |  2 |      86
   16 |     0.823 |  0.952 | 0.883 |  79 |  17 |  4 |      83
   17 |     0.726 |  0.951 | 0.824 |  77 |  29 |  4 |      81
   18 |     0.842 |  0.842 | 0.842 |  48 |   9 |  9 |      57
   21 |     0.980 |  0.970 | 0.975 |  96 |   2 |  3 |      99
   22 |     0.791 |  0.929 | 0.854 |  91 |  24 |  7 |      98
   23 |     0.935 |  0.980 | 0.957 | 100 |   7 |  2 |     102
   24 |     0.814 |  0.976 | 0.888 |  83 |  19 |  2 |      85
   25 |     0.791 |  0.926 | 0.853 |  87 |  23 |  7 |      94
   26 |     0.812 |  0.908 | 0.857 |  69 |  16 |  7 |      76
   27 |     0.690 |  0.886 | 0.776 |  78 |  35 | 10 |      88
   28 |     0.738 |  0.882 | 0.804 |  45 |  16 |  6 |      51
   31 |     0.862 |  0.955 | 0.906 | 106 |  17 |  5 |     111
   32 |     0.940 |  0.982 | 0.961 | 110 |   7 |  2 |     112
   33 |     0.934 |  0.966 | 0.950 | 113 |   8 |  4 |     117
   34 |     0.851 |  1.000 | 0.920 | 103 |  18 |  0 |     103
   35 |     0.845 |  0.949 | 0.894 |  93 |  17 |  5 |      98
   36 |     0.855 |  0.952 | 0.901 |  59 |  10 |  3 |      62
   37 |     0.899 |  0.947 | 0.922 |  71 |   8 |  4 |      75
   38 |     0.775 |  0.972 | 0.863 |  69 |  20 |  2 |      71
   41 |     0.831 |  0.982 | 0.900 | 108 |  22 |  2 |     110
   42 |     0.854 |  0.963 | 0.905 | 105 |  18 |  4 |     109
   43 |     0.913 |  0.991 | 0.950 | 115 |  11 |  1 |     116
   44 |     0.867 |  0.990 | 0.925 |  98 |  15 |  1 |      99
   45 |     0.853 |  0.961 | 0.904 |  99 |  17 |  4 |     103
   46 |     0.900 |  0.955 | 0.926 |  63 |   7 |  3 |      66
   47 |     0.685 |  0.937 | 0.791 |  74 |  34 |  5 |      79
   48 |     0.815 |  0.772 | 0.793 |  44 |  10 | 13 |      57
