Per-class test metrics for resnet50_full
macro_f1: 0.865701
weighted_f1: 0.874656

class | precision | recall | f1    | tp  | fp  | fn | support
------+-----------+--------+-------+-----+-----+----+--------
   11 |     0.407 |  0.989 | 0.577 |  88 | 128 |  1 |      89
   12 |     0.882 |  0.938 | 0.909 |  90 |  12 |  6 |      96
   13 |     0.800 |  0.972 | 0.878 | 104 |  26 |  3 |     107
   14 |     0.726 |  0.976 | 0.832 |  82 |  31 |  2 |      84
   15 |     0.830 |  0.965 | 0.892 |  83 |  17 |  3 |      86
   16 |     0.875 |  0.928 | 0.901 |  77 |  11 |  6 |      83
   17 |     0.710 |  0.938 | 0.809 |  76 |  31 |  5 |      81
   18 |     0.686 |  0.842 | 0.756 |  48 |  22 |  9 |      57
   21 |     0.980 |  0.980 | 0.980 |  97 |   2 |  2 |      99
   22 |     0.919 |  0.929 | 0.924 |  91 |   8 |  7 |      98
   23 |     0.935 |  0.980 | 0.957 | 100 |   7 |  2 |     102
   24 |     0.752 |  0.965 | 0.845 |  82 |  27 |  3 |      85
   25 |     0.725 |  0.926 | 0.813 |  87 |  33 |  7 |      94
   26 |     0.805 |  0.921 | 0.859 |  70 |  17 |  6 |      76
   27 |     0.653 |  0.920 | 0.764 |  81 |  43 |  7 |      88
   28 |     0.703 |  0.882 | 0.783 |  45 |  19 |  6 |      51
   31 |     0.823 |  0.964 | 0.888 | 107 |  23 |  4 |     111
   32 |     0.948 |  0.973 | 0.960 | 109 |   6 |  3 |     112
   33 |     0.920 |  0.983 | 0.950 | 115 |  10 |  2 |     117
   34 |     0.844 |  1.000 | 0.916 | 103 |  19 |  0 |     103
   35 |     0.888 |  0.969 | 0.927 |  95 |  12 |  3 |      98
   36 |     0.879 |  0.935 | 0.906 |  58 |   8 |  4 |      62
   37 |     0.809 |  0.960 | 0.878 |  72 |  17 |  3 |      75
   38 |     0.690 |  0.972 | 0.807 |  69 |  31 |  2 |      71
   41 |     0.757 |  0.991 | 0.858 | 109 |  35 |  1 |     110
   42 |     0.869 |  0.972 | 0.918 | 106 |  16 |  3 |     109
   43 |     0.943 |  0.991 | 0.966 | 115 |   7 |  1 |     116
   44 |     0.839 |  1.000 | 0.912 |  99 |  19 |  0 |      99
   45 |     0.861 |  0.961 | 0.908 |  99 |  16 |  4 |     103
   46 |     0.901 |  0.970 | 0.934 |  64 |   7 |  2 |      66
   47 |     0.688 |  0.949 | 0.798 |  75 |  34 |  4 |      79
   48 |     0.603 |  0.825 | 0.696 |  47 |  31 | 10 |      57
