Per-class test metrics for resnet50_shallow
macro_f1: 0.85205
weighted_f1: 0.856281

class | precision | recall | f1    | tp  | fp  | fn | support
------+-----------+--------+-------+-----+-----+----+--------
   11 |     0.397 |  1.000 | 0.569 |  89 | 135 |  0 |      89
   12 |     0.875 |  0.948 | 0.910 |  91 |  13 |  5 |      96
   13 |     0.731 |  0.991 | 0.841 | 106 |  39 |  1 |     107
   14 |     0.822 |  0.881 | 0.851 |  74 |  16 | 10 |      84
   15 |     0.644 |  0.988 | 0.780 |  85 |  47 |  1 |      86
   16 |     0.748 |  0.928 | 0.828 |  77 |  26 |  6 |      83
   17 |     0.747 |  0.840 | 0.791 |  68 |  23 | 13 |      81
   18 |     0.729 |  0.895 | 0.803 |  51 |  19 |  6 |      57
   21 |     0.932 |  0.970 | 0.950 |  96 |   7 |  3 |      99
   22 |     0.814 |  0.939 | 0.872 |  92 |  21 |  6 |      98
   23 |     0.800 |  0.980 | 0.881 | 100 |  25 |  2 |     102
   24 |     0.774 |  0.965 | 0.859 |  82 |  24 |  3 |      85
   25 |     0.667 |  0.894 | 0.764 |  84 |  42 | 10 |      94
   26 |     0.745 |  0.961 | 0.839 |  73 |  25 |  3 |      76
   27 |     0.699 |  0.898 | 0.786 |  79 |  34 |  9 |      88
   28 |     0.830 |  0.863 | 0.846 |  44 |   9 |  7 |      51
   31 |     0.845 |  0.982 | 0.908 | 109 |  20 |  2 |     111
   32 |     0.859 |  0.982 | 0.917 | 110 |  18 |  2 |     112
   33 |     0.837 |  0.966 | 0.897 | 113 |  22 |  4 |     117
   34 |     0.803 |  0.990 | 0.887 | 102 |  25 |  1 |     103
   35 |     0.885 |  0.939 | 0.911 |  92 |  12 |  6 |      98
   36 |     0.853 |  0.935 | 0.892 |  58 |  10 |  4 |      62
   37 |     0.789 |  0.947 | 0.861 |  71 |  19 |  4 |      75
   38 |     0.791 |  0.958 | 0.866 |  68 |  18 |  3 |      71
   41 |     0.796 |  0.991 | 0.883 | 109 |  28 |  1 |     110
   42 |     0.847 |  0.963 | 0.901 | 105 |  19 |  4 |     109
   43 |     0.788 |  0.991 | 0.878 | 115 |  31 |  1 |     116
   44 |     0.805 |  1.000 | 0.892 |  99 |  24 |  0 |      99
   45 |     0.832 |  0.961 | 0.892 |  99 |  20 |  4 |     103
   46 |     0.889 |  0.970 | 0.928 |  64 |   8 |  2 |      66
   47 |     0.697 |  0.962 | 0.809 |  76 |  33 |  3 |      79
   48 |     0.763 |  0.789 | 0.776 |  45 |  14 | 12 |      57
